Color Name,R,G,B
Navy Blue,0,72,186
Lime Green,176,191,26
Sky Blue,124,185,232
Mint Blue,201,255,229
Lavender Purple,178,132,190
Steel Blue,114,160,193
Crimson,163,38,56
Light Blue,240,248,255
Orange Brown,196,98,16
Almond,239,222,205
Pink Red,229,43,80
Light Pink,241,156,187
Dark Purple,171,39,79
Bright Red,211,33,45
Forest Green,59,122,87
Amber,255,191,0
Deep Orange,255,126,0
Navy Blue,60,59,110
Chocolate Brown,128,64,0
Gold,211,175,55
Bright Green,52,179,52
Orange Red,255,89,0
Pastel Pink,255,153,204
Bright Red,255,3,62
Silver,207,207,207
Deep Purple,85,32,140
Yellow,233,221,81
Amethyst Purple,153,102,204
Olive Green,164,198,57
Off White,242,243,244
Antique Gold,205,149,117
Bronze,102,93,30
Dusty Rose,145,92,131
Brick Red,171,88,106
Dark Red,132,27,45
Off White,250,235,215
Green,0,128,0
Apple Green,141,182,0
Peach,251,206,177
Aqua,0,255,255
Aquamarine,127,255,212
Lime Green,208,255,20
Army Green,75,83,32
Olive Green,75,111,68
Yellow,233,214,107
Light Gray,178,190,181
Sage Green,135,169,107
Coral Orange,255,153,102
Auburn Brown,165,42,42
Gold Yellow,253,238,0
Avocado Green,86,130,3
Azure Blue,0,127,255
Light Blue,240,255,255
Baby Blue,137,207,240
Light Blue,161,202,241
Baby Pink,244,194,194
Off White,254,254,250
Light Pink,255,145,175
Cream,250,231,181
Hot Pink,224,33,138
Barn Red,124,10,2
Powder Blue,188,212,230
Taupe,159,129,112
Beige,245,245,220
Navy Blue,46,88,148
Dark Red,156,37,66
Bisque,255,228,196
Dark Brown,61,43,31
Brown,150,113,23
Bright Yellow,202,224,13
Lime Green,191,255,0
Coral,254,111,94
Rust Red,191,79,81
Black,0,0,0
Dark Brown,61,12,2
Black,27,24,17
Dark Brown,59,47,47
Dark Gray,84,98,111
Dark Olive,59,60,54
Light Gray,191,175,178
Cream,255,235,205
Bronze,165,113,100
Blue,49,140,231
Light Blue,172,229,238
Blonde,250,240,190
Dark Red,102,0,0
Blue,0,0,255
Blue,31,117,254
Blue,0,147,175
Blue,0,24,168
Navy Blue,51,51,153
Blue,2,71,254
Periwinkle Blue,162,162,208
Blue Gray,102,153,204
Teal Blue,13,152,186
Teal Green,6,78,64
Blue Jeans,93,173,236
Blue Sapphire,18,97,128
Blue Violet,138,43,226
Blue Purple,115,102,189
Royal Purple,77,26,127
Blue,80,114,167
Blue,60,105,231
Blush Pink,222,93,131
Teal Blue,0,149,182
Cream,227,218,201
Bottle Green,0,106,78
Copper Brown,135,65,63
Brick Red,203,65,84
Bright Green,102,255,0
Light Purple,216,145,239
Maroon,195,33,72
Navy Blue,25,116,210
Yellow,255,170,29
Racing Green,0,66,37
Bronze,205,127,50
Brown,165,42,42
Light Brown,175,110,77
Deep Green,27,77,62
Lime Green,123,182,97
Cream,240,220,130
Burgundy,128,0,32
Light Brown,222,184,135
Bronze Brown,161,122,116
Burnt Orange,204,85,0
Terracotta,233,116,81
Dark Brown,138,51,36
Fuchsia Purple,189,51,164
Deep Purple,112,41,99
Navy Blue,83,104,114
Cadet Blue,95,158,160
Light Blue,169,178,195
Gray,145,163,176
Green,0,107,60
Orange,237,135,45
Red,227,0,34
Yellow,255,246,0
Latte Brown,166,123,91
Dark Brown,75,54,33
Light Green,163,193,173
Camel,193,154,107
Pale Pink,239,187,204
Yellow,255,255,153
